rank,candidate_id,final_score,reasoning,semantic_score,structured_score,behavioral_score,quality_score,semantic_contribution,structured_contribution,behavioral_contribution,quality_contribution,skill_score,retrieval_score,ranking_score,evaluation_score,production_score,experience_score,education_score,certification_score,llm_hype_penalty,experience_fit_score,experience_distance,consistency_score,education_consistency_score,trap_probability,assessment_score,assessment_modifier,scale_boost,behavioral_boost,career_keyword_scores,ranking_concept,evaluation_concept,production_concept,consulting_ratio,is_honeypot,is_consulting_only,is_cv_only,top_positive_features,top_negative_features,anonymized_name,headline,summary,location,country,years_of_experience,current_title,current_company,current_company_size,current_industry,skills,education,career_history,certifications,languages,profile_completeness_score,signup_date,last_active_date,open_to_work,profile_views_received_30d,applications_submitted_30d,recruiter_response_rate,avg_response_time_hours,connection_count,endorsements_received,notice_period_days,expected_salary,preferred_work_mode,willing_to_relocate,github_activity_score,search_appearance_30d,saved_by_recruiters_30d,interview_completion_rate,offer_acceptance_rate,verified_email,verified_phone,linkedin_connected
1,CAND_0018499,0.819529,"Possesses 7 YOE with hands-on LangChain, QLoRA, Milvus experience applicable to the JD's hybrid retrieval, evaluation frameworks (NDCG/MRR), vector DB operations needs. Has a track record of deploying robust ML systems to production, consistent with the role's emphasis on shipping over theorizing. Signals worth noting include active GitHub history, open to work, immediate joiner status.",0.5555,0.7689,0.876,1.0,0.083325,0.38445,0.1314,0.1,0.3038,1.0,0.85,1.0,0.804,0.9,0.9,0.5,0.0,1.0,0.0,1.0,1.0,0.0,72.4,1.01,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 1.0, 'production': 1.0}",0.4987,0.3983,0.4395,0.0,False,False,False,Retrieval/Search (1.00); Evaluation Frameworks (1.00); Experience Fit (1.00),Skill Match (0.30),Aarav Trivedi,Senior Machine Learning Engineer | Building AI-native search & ranking systems,"Senior AI engineer with 7.2 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval system combining BM25 with dense vector recall, serving 50M+ queries per month. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I have strong opinions about when LLMs are the right hammer and when classical IR is — usually it's both. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end.","Noida, Uttar Pradesh",India,7.2,Senior Machine Learning Engineer,Zomato,5001-10000,Food Delivery,"Deep Learning, Weaviate, Recommendation Systems, scikit-learn, Diffusion Models, Pinecone, Information Retrieval, Milvus, QLoRA, RAG, Embeddings, Learning to Rank, CNN, Go, BM25, LangChain, Weights & Biases",B.Sc in Artificial Intelligence from Massachusetts Institute of Technology (2013-2017); M.S. in Data Science from NIT Surathkal (2017-2021),"Senior Machine Learning Engineer at Zomato (26 mos, current=True); Staff Machine Learning Engineer at Google (18 mos, current=False); Senior Machine Learning Engineer at Flipkart (42 mos, current=False)","Google Cloud Professional ML Engineer, NLP Specialization"," (professional),  (conversational)",98.0,2025-03-11,2026-05-13,True,75,18,0.61,59.6,1839,189,15,36.8-56.6 LPA,remote,True,94.8,1291,16,0.8,0.75,True,True,True
2,CAND_0046525,0.772738,"6 years deep in llms, with Elasticsearch, LangChain on the resume — a near match for the JD's hybrid retrieval, evaluation frameworks (NDCG/MRR), vector DB operations ask. Has a track record of deploying robust ML systems to production, consistent with the role's emphasis on shipping over theorizing. Features strong recruiter engagement, open to work, a 60-day notice period.",0.6015,0.7017,0.8333,1.0,0.090225,0.35085,0.124995,0.1,0.1451,1.0,0.647,1.0,0.771,0.9,0.9,0.5,0.0,1.0,0.0,1.0,1.0,0.0,96.5,1.05,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 1.0, 'production': 0.75}",0.4927,0.3697,0.4036,0.0,False,False,False,Retrieval/Search (1.00); Evaluation Frameworks (1.00); Experience Fit (1.00),Skill Match (0.15),Tanvi Mukherjee,Senior Machine Learning Engineer | Building AI-native search & ranking systems,"Senior AI engineer with 6.1 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval system combining BM25 with dense vector recall, handling peak QPS of 8K with sub-200ms p95. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I care more about shipping a working system in 6 weeks than a theoretically perfect one in 6 months. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end.","Pune, Maharashtra",India,6.1,Senior Machine Learning Engineer,Genpact AI,10001+,AI Services,"Elasticsearch, Redux, LangChain, Machine Learning, LlamaIndex, Information Retrieval, TensorFlow, LLMs, NLP, Sentence Transformers, YOLO, Forecasting, pgvector, Image Classification, Weights & Biases, TTS, Qdrant",M.S. in Computer Engineering from Manipal Institute of Technology (2009-2013); M.Sc in Information Technology from IIT Hyderabad (2017-2020),"Senior Machine Learning Engineer at Genpact AI (48 mos, current=True); Senior Machine Learning Engineer at LinkedIn (25 mos, current=False)",NLP Specialization," (professional),  (native)",62.8,2026-01-22,2026-05-23,True,108,7,0.88,12.0,1801,239,60,28.4-51.9 LPA,onsite,True,36.7,663,38,0.81,0.48,True,True,True
3,CAND_0077337,0.76287,"Demonstrates a strong technical profile in llms using QLoRA, Pinecone over a 7-year career, aligning with the JD's need for hybrid retrieval, evaluation frameworks (NDCG/MRR), vector DB operations. Has shipped ML systems under real production constraints, the kind of background the JD's fast-moving founding team is looking for. Features strong recruiter engagement, active GitHub history, open to work, a 60-day notice period.",0.605,0.7416,0.8707,1.0,0.09075,0.3708,0.130605,0.1,0.2281,1.0,0.89,0.626,0.874,0.9,0.825,0.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.75, 'evaluation': 0.5, 'production': 1.0}",0.5215,0.3901,0.4422,0.0,False,False,False,Retrieval/Search (1.00); Experience Fit (1.00); Profile Quality (1.00),Skill Match (0.23),Aarav Agarwal,Staff Machine Learning Engineer | Building AI-native search & ranking systems,"Senior AI engineer with 7.0 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval system combining BM25 with dense vector recall, serving 50M+ queries per month. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I care more about shipping a working system in 6 weeks than a theoretically perfect one in 6 months. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end.","Kochi, Kerala",India,7.0,Staff Machine Learning Engineer,Paytm,10001+,Fintech,"GANs, Semantic Search, QLoRA, pgvector, Pinecone, Feature Engineering, BM25, Information Retrieval, LLMs, OpenCV, Data Science, Forecasting, Excel, RAG, Qdrant, Recommendation Systems, Sentence Transformers, LlamaIndex, Python, OpenSearch",B.Tech in Computer Engineering from Georgia Tech (2014-2018),"Staff Machine Learning Engineer at Paytm (19 mos, current=True); Senior NLP Engineer at Razorpay (14 mos, current=False); Senior NLP Engineer at Glance (44 mos, current=False); Senior AI Engineer at Aganitha (6 mos, current=False)","Deep Learning Specialization, NLP Specialization"," (professional),  (professional)",64.6,2024-09-24,2026-05-26,True,106,9,0.95,26.0,1073,27,60,46.0-51.3 LPA,remote,True,68.0,240,32,0.73,0.77,True,True,True
4,CAND_0081846,0.706657,"Carries Elasticsearch expertise from 7 years of hands-on work, mapping cleanly onto hybrid retrieval, evaluation frameworks (NDCG/MRR), vector DB operations. Proven experience deploying ML systems to production at scale, matching the JD's 'ship a working ranker in a week' culture. On the hiring-readiness side: strong recruiter engagement, open to work, immediate joiner status.",0.5964,0.7173,0.8487,1.0,0.08946,0.35865,0.127305,0.1,0.1502,1.0,0.85,1.0,0.846,0.8286,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 1.0, 'production': 1.0}",0.4471,0.3449,0.4534,0.0,False,False,False,Retrieval/Search (1.00); Evaluation Frameworks (1.00); Experience Fit (1.00),Skill Match (0.15); Certifications (0.00),Arjun Khanna,"Lead AI Engineer | LLMs, RAG, Vector Search | ex-Top Tech","Senior AI engineer with 6.7 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candidate-JD matching pipeline from scratch, taking it from 0.72 to 0.91 NDCG@10, serving 50M+ queries per month. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I have strong opinions about when LLMs are the right hammer and when classical IR is — usually it's both. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end.","Jaipur, Rajasthan",India,6.7,Lead AI Engineer,Razorpay,1001-5000,Fintech,"Data Science, Information Retrieval, LlamaIndex, pgvector, Forecasting, Learning to Rank, Elasticsearch, PyTorch, Vector Search, scikit-learn, Deep Learning, Recommendation Systems, Python, Embeddings, Semantic Search, BM25, Machine Learning, Qdrant",B.E. in Data Science from IIT Hyderabad (2006-2009); Ph.D in Computer Engineering from IIT Delhi (2015-2019),"Lead AI Engineer at Razorpay (27 mos, current=True); Senior Machine Learning Engineer at Paytm (52 mos, current=False)",Google Cloud Professional ML Engineer," (professional),  (conversational)",95.7,2024-08-08,2026-05-03,True,231,16,0.73,40.2,494,166,30,33.3-52.8 LPA,remote,True,33.7,347,62,0.94,-1.0,True,True,True
5,CAND_0086022,0.69767,"Carries Elasticsearch, LangChain, LoRA expertise from 5 years of hands-on work, mapping cleanly onto hybrid retrieval, evaluation frameworks (NDCG/MRR), vector DB operations. Proven experience deploying ML systems to production at scale, matching the JD's 'ship a working ranker in a week' culture. On the hiring-readiness side: active GitHub history, open to work, immediate joiner status.",0.5855,0.7644,0.7723,1.0,0.087825,0.3822,0.115845,0.1,0.284,1.0,0.703,1.0,0.925,0.8462,0.825,0.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 1.0, 'production': 0.75}",0.4745,0.4177,0.3803,0.0,False,False,False,Retrieval/Search (1.00); Evaluation Frameworks (1.00); Experience Fit (1.00),Skill Match (0.28),Dhruv Naidu,"Senior Applied Scientist | LLMs, RAG, Vector Search | ex-Top Tech","Senior AI engineer with 5.3 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I led the migration from keyword-based ranking to a learning-to-rank model with embedded behavioral signals, handling peak QPS of 8K with sub-200ms p95. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I've made all the standard mistakes — embedding everything before defining the metric, over-investing in fine-tuning, optimizing offline metrics that don't move online — so I notice them faster now. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end.","Kolkata, West Bengal",India,5.3,Senior Applied Scientist,Sarvam AI,51-200,AI/ML,"Vector Search, MLflow, Recommendation Systems, Databricks, Deep Learning, pgvector, Fine-tuning LLMs, Elasticsearch, QLoRA, Pinecone, Embeddings, Kubeflow, PyTorch, ETL, TensorFlow, NLP, Sentence Transformers, LoRA, LangChain",B.Tech in Data Science from Stanford University (2016-2020),"Senior Applied Scientist at Sarvam AI (25 mos, current=True); Senior ML Engineer — Search & Ranking at Uber (38 mos, current=False)","LangChain for LLM Application Development, AWS Certified Machine Learning Specialty"," (native),  (professional)",80.1,2025-07-17,2026-04-15,True,68,6,0.55,59.2,221,35,0,31.2-72.6 LPA,hybrid,True,75.2,723,53,0.68,0.53,True,True,True
6,CAND_0005649,0.684954,"Demonstrates a strong technical profile in fine-tuning llms using QLoRA, Weaviate over a 7-year career, aligning with the JD's need for hybrid retrieval, evaluation frameworks (NDCG/MRR), vector DB operations. Has shipped ML systems under real production constraints, the kind of background the JD's fast-moving founding team is looking for. Features active GitHub history, open to work.",0.6292,0.6902,0.7875,1.0,0.09438,0.3451,0.118125,0.1,0.1663,1.0,0.799,0.626,1.0,0.7638,0.9625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.75, 'evaluation': 0.5, 'production': 1.0}",0.494,0.3604,0.511,0.0,False,False,False,Retrieval/Search (1.00); Production Experience (1.00); Experience Fit (1.00),Skill Match (0.17); Certifications (0.00),Riya Kapoor,"Senior Data Scientist | Search, Ranking & Retrieval","Machine learning engineer with 7.4 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I built our semantic search infrastructure from scratch — sentence-transformers, FAISS, the works. Along the way I've gotten comfortable with the operational side — A/B testing, drift monitoring, retraining schedules. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Delhi, Delhi",India,7.4,Senior Data Scientist,Sarvam AI,51-200,AI/ML,"Haystack, Redis, Prompt Engineering, Object Detection, Deep Learning, TensorFlow, Fine-tuning LLMs, Recommendation Systems, QLoRA, OpenCV, Semantic Search, Weaviate, scikit-learn, RAG, Microservices, Information Retrieval, Kubeflow",Ph.D in Information Technology from RV College of Engineering (2016-2019),"Senior Data Scientist at Sarvam AI (18 mos, current=True); Recommendation Systems Engineer at Aganitha (12 mos, current=False); Senior Data Scientist at Amazon (42 mos, current=False); Search Engineer at Glance (16 mos, current=False)",," (native),  (native)",57.8,2025-08-31,2026-04-14,True,15,5,0.57,59.1,909,51,90,37.1-54.8 LPA,remote,True,80.7,595,26,0.88,0.82,True,True,False
7,CAND_0041610,0.663666,"An experienced ML professional with 7 YOE specializing in embeddings and Elasticsearch, LangChain, LoRA, matching the role's hybrid retrieval, evaluation frameworks (NDCG/MRR), vector DB operations requirements. Proven experience deploying ML systems to production at scale, matching the JD's 'ship a working ranker in a week' culture. On the hiring-readiness side: open to work, immediate joiner status.",0.5456,0.7026,0.7818,1.0,0.08184,0.3513,0.11727,0.1,0.1872,0.925,0.925,0.467,0.846,0.8784,0.85,0.75,0.0,1.0,0.0,1.0,1.0,0.0,55.6,0.99,1.03,1.0,"{'retrieval': 0.75, 'ranking': 0.75, 'evaluation': 0.25, 'production': 1.0}",0.6108,0.4771,0.5708,0.0,False,False,False,Experience Fit (1.00); Profile Quality (1.00); Profile Consistency (1.00),Skill Match (0.19),Anil Subramanian,"Recommendation Systems Engineer | Search, Ranking & Retrieval","Machine learning engineer with 6.7 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I led the team that migrated our keyword-search-based product to embedding-based retrieval. I care a lot about evaluation rigor — too many teams ship models without offline benchmarks they trust. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Indore, Madhya Pradesh",India,6.7,Recommendation Systems Engineer,Zoho,10001+,SaaS,"OpenCV, LoRA, Statistical Modeling, Data Science, Elasticsearch, GANs, OpenSearch, LangChain, BM25, scikit-learn, Learning to Rank, Forecasting, Feature Engineering, Embeddings, pgvector, Recommendation Systems, PyTorch",B.Tech in Information Technology from SRM University (2008-2011); M.Tech in Computer Science from Lovely Professional University (2014-2017),"Recommendation Systems Engineer at Zoho (31 mos, current=True); Applied ML Engineer at Observe.AI (26 mos, current=False); Search Engineer at InMobi (15 mos, current=False); Machine Learning Engineer at Swiggy (7 mos, current=False)","AWS Certified Machine Learning Specialty, Deep Learning Specialization"," (professional),  (native)",53.9,2025-10-19,2026-05-14,True,44,16,0.52,4.8,728,11,30,35.4-59.4 LPA,remote,True,52.1,717,18,0.8,0.8,True,True,True
8,CAND_0068811,0.648709,"Possesses 8 YOE with hands-on PEFT, Pinecone, Weaviate experience applicable to the JD's hybrid retrieval, evaluation frameworks (NDCG/MRR), vector DB operations needs. Has shipped ML systems under real production constraints, the kind of background the JD's fast-moving founding team is looking for. Signals worth noting include open to work, immediate joiner status.",0.5776,0.693,0.7098,0.94,0.08664,0.3465,0.10647,0.094,0.1405,0.925,0.951,0.626,0.958,0.8286,0.9625,0.0,0.0,1.0,0.0,0.9,0.6,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 0.75, 'ranking': 1.0, 'evaluation': 0.5, 'production': 1.0}",0.4302,0.2659,0.6393,0.0,False,False,False,Experience Fit (1.00); Education (0.96); Production Experience (0.96),Skill Match (0.14); Certifications (0.00),Krishna Mittal,Applied ML Engineer | Applied ML | Building intelligent products,"Machine learning engineer with 8.0 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I led the team that migrated our keyword-search-based product to embedding-based retrieval. I care a lot about evaluation rigor — too many teams ship models without offline benchmarks they trust. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Pune, Maharashtra",India,8.0,Applied ML Engineer,Freshworks,5001-10000,SaaS,"Data Science, Vector Search, Speech Recognition, TTS, Kubeflow, Qdrant, scikit-learn, TensorFlow, Embeddings, pgvector, Pinecone, Time Series, PEFT, gRPC, Haystack, OpenSearch, Weaviate, Agile, React",Ph.D in Artificial Intelligence from Thapar University (2013-2017); M.E. in Information Technology from SRM Chennai (2014-2017),"Applied ML Engineer at Freshworks (19 mos, current=True); AI Engineer at Yellow.ai (26 mos, current=False); Recommendation Systems Engineer at Meesho (25 mos, current=False); Search Engineer at Salesforce (25 mos, current=False)",," (native),  (conversational)",71.4,2025-02-26,2026-05-21,True,35,6,0.42,26.6,997,77,30,27.4-41.5 LPA,onsite,True,23.1,478,4,0.77,0.73,True,False,True
9,CAND_0010257,0.646245,"Demonstrates a strong technical profile in python using Milvus over a 6-year career, aligning with the JD's need for hybrid retrieval, evaluation frameworks (NDCG/MRR), vector DB operations. Has shipped ML systems under real production constraints, the kind of background the JD's fast-moving founding team is looking for. Features strong recruiter engagement, open to work. Note: long notice period of 120 days.",0.5707,0.6414,0.8202,1.0,0.085605,0.3207,0.12303,0.1,0.1092,0.775,0.986,0.626,0.916,0.6854,0.9625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,82.2,1.03,1.03,1.0,"{'retrieval': 0.25, 'ranking': 1.0, 'evaluation': 0.5, 'production': 1.0}",0.4586,0.3329,0.6163,0.0,False,False,False,Experience Fit (1.00); Profile Quality (1.00); Profile Consistency (1.00),Skill Match (0.11); Certifications (0.00),Ira Shetty,Senior Data Scientist | Applied ML | Building intelligent products,"Machine learning engineer with 6.5 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I led the team that migrated our keyword-search-based product to embedding-based retrieval. I care a lot about evaluation rigor — too many teams ship models without offline benchmarks they trust. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Noida, Uttar Pradesh",India,6.5,Senior Data Scientist,Google,10001+,Internet,"Milvus, TensorFlow, MLflow, Python, Forecasting, OpenSearch, Qdrant, JavaScript, ASR, Machine Learning, Feature Engineering, Image Classification, Recommendation Systems, pgvector, Rust",Ph.D in Computer Science from COEP Pune (2010-2015),"Senior Data Scientist at Google (37 mos, current=True); Search Engineer at PharmEasy (14 mos, current=False); Senior Data Scientist at Google (26 mos, current=False)",Google Cloud Professional ML Engineer," (professional),  (conversational)",85.1,2026-04-21,2026-05-13,True,269,16,0.72,46.2,737,145,120,39.9-46.9 LPA,flexible,True,45.5,890,35,0.92,0.74,True,True,False
10,CAND_0098846,0.625597,"Carries QLoRA, PEFT expertise from 8 years of hands-on work, mapping cleanly onto hybrid retrieval, evaluation frameworks (NDCG/MRR), vector DB operations. Experienced in taking models from research to production with scalability focus, fitting the founding-team velocity expectations. On the hiring-readiness side: active GitHub history, open to work, a 45-day notice period.",0.6412,0.5982,0.8298,1.0,0.09618,0.2991,0.12447,0.1,0.116,0.848,0.612,0.411,1.0,0.7246,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 0.75, 'ranking': 0.5, 'evaluation': 0.25, 'production': 1.0}",0.4369,0.2834,0.6227,0.0,False,False,False,Production Experience (1.00); Experience Fit (1.00); Education (1.00),Skill Match (0.12); Certifications (0.00),Shreya Saxena,"AI Engineer | Search, Ranking & Retrieval","Machine learning engineer with 7.6 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I've been the de-facto ML lead on a small team, shipping models across NLP and recsys. Along the way I've gotten comfortable with the operational side — A/B testing, drift monitoring, retraining schedules. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Indore, Madhya Pradesh",India,7.6,AI Engineer,upGrad,1001-5000,EdTech,"YOLO, Kubeflow, Hugging Face Transformers, Hadoop, PEFT, QLoRA, Machine Learning, MLOps, Qdrant, Haystack, LlamaIndex, TensorFlow, Recommendation Systems, Speech Recognition, Photoshop, Azure, BentoML, TTS",Ph.D in Machine Learning from IIT Kanpur (2009-2013),"AI Engineer at upGrad (25 mos, current=True); Machine Learning Engineer at Meesho (20 mos, current=False); Search Engineer at Swiggy (19 mos, current=False); Search Engineer at Google (26 mos, current=False)",," (native),  (native)",90.0,2025-09-15,2026-04-23,True,102,13,0.62,12.0,1378,99,45,44.0-54.7 LPA,flexible,True,86.2,747,13,0.8,-1.0,True,True,True
