candidate_id,final_score,semantic_score,structured_score,behavioral_score,quality_score,skill_score,retrieval_score,ranking_score,evaluation_score,production_score,experience_score,career_score,consulting_ratio,education_score,certification_score,llm_hype_penalty,experience_fit_score,experience_distance,consistency_score,education_consistency_score,trap_probability,assessment_score,assessment_modifier,scale_boost,behavioral_boost,career_keyword_scores,ranking_concept,evaluation_concept,production_concept,rank,reasoning
CAND_0018499,0.773911,0.5555,0.7689,0.8773,1.0,0.3038,1.0,0.85,1.0,0.804,0.9,1.0,0.0,0.9,0.5,0.0,1.0,0.0,1.0,1.0,0.0,72.4,1.01,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 1.0, 'production': 1.0}",0.4987,0.3983,0.4395,1.0,"Demonstrated expertise with LangChain, QLoRA, Milvus (7 YOE), focusing on embeddings. Proven experience deploying ML systems to production at scale. Candidate shows active GitHub history, open to work, immediate joiner."
CAND_0077337,0.766967,0.605,0.7416,0.8686,1.0,0.2281,1.0,0.89,0.626,0.874,0.9,1.0,0.0,0.825,0.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.75, 'evaluation': 0.5, 'production': 1.0}",0.5215,0.3901,0.4422,2.0,"Demonstrated expertise with QLoRA, Pinecone (7 YOE), focusing on llms. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, actively looking and recently active, 60-day notice."
CAND_0071974,0.765816,0.61,0.7481,0.831,1.0,0.2698,0.925,1.0,0.626,0.958,0.8286,1.0,0.0,0.9,0.5,0.0,1.0,0.0,1.0,1.0,0.0,86.7,1.03,1.03,1.0,"{'retrieval': 0.75, 'ranking': 1.0, 'evaluation': 0.5, 'production': 1.0}",0.471,0.3736,0.4707,3.0,"Demonstrated expertise with Elasticsearch, LoRA, PEFT (8 YOE), focusing on embeddings. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, open to work, 45-day notice."
CAND_0086022,0.758889,0.5855,0.7644,0.7612,1.0,0.284,1.0,0.703,1.0,0.925,0.8462,0.8889,0.0,0.825,0.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 1.0, 'production': 0.75}",0.4745,0.4177,0.3803,4.0,"Demonstrated expertise with Elasticsearch, LangChain, LoRA (5 YOE), focusing on embeddings. Proven experience deploying ML systems to production at scale. Candidate shows active GitHub history, open to work, immediate joiner."
CAND_0081846,0.745656,0.5964,0.7173,0.8378,1.0,0.1502,1.0,0.85,1.0,0.846,0.8286,0.8333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 1.0, 'production': 1.0}",0.4471,0.3449,0.4534,5.0,"Demonstrated expertise with Elasticsearch (7 YOE), focusing on embeddings. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, open to work, immediate joiner."
CAND_0008425,0.737475,0.5872,0.7403,0.7153,1.0,0.1445,1.0,0.85,0.918,0.874,0.7854,1.0,0.0,0.9,0.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 0.75, 'production': 1.0}",0.466,0.4149,0.4627,6.0,"Demonstrated expertise with LoRA (8 YOE), focusing on nlp. Proven experience deploying ML systems to production at scale. Candidate shows open to work."
CAND_0046525,0.736069,0.6015,0.7017,0.8291,1.0,0.1451,1.0,0.647,1.0,0.771,0.9,0.8889,0.0,0.9,0.5,0.0,1.0,0.0,1.0,1.0,0.0,96.5,1.05,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 1.0, 'production': 0.75}",0.4927,0.3697,0.4036,7.0,"Demonstrated expertise with Elasticsearch, LangChain (6 YOE), focusing on llms. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, actively looking and recently active, 60-day notice."
CAND_0005649,0.727985,0.6292,0.6902,0.7845,1.0,0.1663,1.0,0.799,0.626,1.0,0.7638,1.0,0.0,0.9625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.75, 'evaluation': 0.5, 'production': 1.0}",0.494,0.3604,0.511,8.0,"Demonstrated expertise with QLoRA, Weaviate (7 YOE), focusing on fine-tuning llms. Proven experience deploying ML systems to production at scale. Candidate shows active GitHub history, open to work."
CAND_0055905,0.723215,0.6005,0.6984,0.7633,0.94,0.2346,1.0,0.556,1.0,0.916,0.8569,1.0,0.0,0.9,0.0,0.0,1.0,0.0,0.9,0.6,0.0,83.0,1.03,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 1.0, 'production': 1.0}",0.4929,0.347,0.4194,9.0,"Demonstrated expertise with Elasticsearch, LangChain (8 YOE), focusing on embeddings. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, actively looking and recently active, immediate joiner."
CAND_0044883,0.7207,0.5993,0.6687,0.7289,0.9,0.14,1.0,0.743,0.507,0.804,0.8422,1.0,0.0,0.725,0.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.03,"{'retrieval': 1.0, 'ranking': 0.75, 'evaluation': 0.5, 'production': 1.0}",0.4669,0.3331,0.621,10.0,"Demonstrated expertise with QLoRA (6 YOE), focusing on embeddings. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history."
CAND_0079387,0.7179,0.5702,0.6794,0.8406,1.0,0.1144,1.0,0.925,0.507,0.916,0.8462,1.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,1.0,0.0,57.8,0.99,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.75, 'evaluation': 0.5, 'production': 1.0}",0.4521,0.305,0.643,11.0,"Demonstrated expertise with LoRA, QLoRA (7 YOE), focusing on python. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, open to work, immediate joiner."
