candidate_id,final_score,semantic_score,structured_score,behavioral_score,quality_score,reason_removed,issue_names,reasoning,current_title,years_of_experience,location,country,summary_full,skills,career_history,education_full
CAND_0000038,0.165634,0.5337,0.218,0.5724,0.5,clustered,CLUSTERED_TEMPLATE,"Clustered: Profile is >90% semantically identical to 46 other templated candidates in Top 300. Summary and skills structure match synthetic generation patterns. Skills include Kubeflow, Django, Redux, Weaviate, PowerPoint, Figma, Docker, GraphQL—common in templated profiles—but career details lack specificity. Removed because this appears to be part of a synthetic batch generated from a single template, not a genuine candidate. Education: B.Sc in Computer Engineering (2015-2020). Career: Java Developer at Swiggy (31 mos); .NET Developer at Globex Inc (14 mos). Removed from Top 300 to prevent contamination of final Top 100 submission.",Java Developer,6.7,"Coimbatore, Tamil Nadu",India,"Software engineer with 6.7 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. My background is full-stack, but my comfort zone is the backend and the database. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.","Kubeflow, Django, Redux, Weaviate, PowerPoint, Figma, Docker, GraphQL",Java Developer at Swiggy (31 mos); .NET Developer at Globex Inc (14 mos),B.Sc in Computer Engineering (2015-2020)
CAND_0000927,0.068275,0.6113,0.1158,0.572,0.0,quality_filtered,QUALITY_FILTERED,"Quality-filtered: Profile quality score (0.00) below threshold (0.2). Skills: Snowflake, Java, CSS, HTML, Figma, Diffusion Models, Embeddings, Recommendation Systems. Profile lacks sufficient quality signals to remain in Top 300. Low profile completeness/consistency triggered automatic exclusion. Education: Ph.D in Commerce (2017-2021); M.S. in Artificial Intelligence (2007-2011). Career: Civil Engineer at Acme Corp (42 mos); Accountant at Stark Industries (30 mos). Skills: Snowflake, Java, CSS, HTML, Figma, Diffusion Models, Embeddings, Recommendation Systems. Removed from Top 300 to prevent contamination of final Top 100 submission.",Civil Engineer,11.4,"Noida, Uttar Pradesh",India,"Civil Engineer with 11.4+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities.","Snowflake, Java, CSS, HTML, Figma, Diffusion Models, Embeddings, Recommendation Systems",Civil Engineer at Acme Corp (42 mos); Accountant at Stark Industries (30 mos),Ph.D in Commerce (2017-2021); M.S. in Artificial Intelligence (2007-2011)
CAND_0000273,0.076418,0.5828,0.3027,0.7675,0.5,hard_excluded,"EDUCATION_CHRONOLOGY, SUMMARY_CONTRADICTION, HONEYPOT","Hard-excluded due to chronological contradictions in education timeline (M.E. in Electrical Engineering (2003-2007); B.Tech in Chemical Engineering (2005-2009)). Profile shows degree ordering that is physically impossible. Education: M.E. in Electrical Engineering (2003-2007); B.Tech in Chemical Engineering (2005-2009). Career: ML Engineer at BYJU'S (32 mos); Senior Software Engineer (ML) at Yellow.ai (37 mos). Skills: TTS, Forecasting, Spring Boot, Fine-tuning LLMs, Feature Engineering, Diffusion Models, Redis, Qdrant. Removed from Top 300 to prevent contamination of final Top 100 submission.",ML Engineer,5.8,"Kolkata, West Bengal",India,"Data scientist / ML engineer with 5.8 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. Most of my recent work has been on predictive modeling for customer-facing problems — churn, conversion, lifetime value. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems.","TTS, Forecasting, Spring Boot, Fine-tuning LLMs, Feature Engineering, Diffusion Models, Redis, Qdrant",ML Engineer at BYJU'S (32 mos); Senior Software Engineer (ML) at Yellow.ai (37 mos),M.E. in Electrical Engineering (2003-2007); B.Tech in Chemical Engineering (2005-2009)
CAND_0000182,0.070988,0.5579,0.232,0.3786,0.5,clustered,CLUSTERED_TEMPLATE,"Clustered: Profile is >90% semantically identical to 46 other templated candidates in Top 300. Summary and skills structure match synthetic generation patterns. Skills include Illustrator, Redis, PEFT, MongoDB, BentoML, ASR, Airflow, Elasticsearch—common in templated profiles—but career details lack specificity. Removed because this appears to be part of a synthetic batch generated from a single template, not a genuine candidate. Education: M.S. in Machine Learning (2013-2018). Career: QA Engineer at Stark Industries (37 mos); Full Stack Developer at Wipro (21 mos). Removed from Top 300 to prevent contamination of final Top 100 submission.",QA Engineer,5.5,"Delhi, Delhi",India,"Software engineer with 5.5 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've worked across web frontends, REST APIs, and cloud deployments; comfortable in most parts of a typical SaaS stack. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.","Illustrator, Redis, PEFT, MongoDB, BentoML, ASR, Airflow, Elasticsearch",QA Engineer at Stark Industries (37 mos); Full Stack Developer at Wipro (21 mos),M.S. in Machine Learning (2013-2018)
CAND_0000330,0.048174,0.6332,0.1375,0.4109,0.0,quality_filtered,QUALITY_FILTERED,"Quality-filtered: Profile quality score (0.00) below threshold (0.2). Skills: JavaScript, GraphQL, Six Sigma, Microservices, FastAPI, Excel, SAP, Databricks. Profile lacks sufficient quality signals to remain in Top 300. Low profile completeness/consistency triggered automatic exclusion. Education: M.Tech in Computer Science (2006-2009); Ph.D in Information Technology (2011-2015). Career: Civil Engineer at Acme Corp (51 mos); Operations Manager at Hooli (33 mos). Skills: JavaScript, GraphQL, Six Sigma, Microservices, FastAPI, Excel, SAP, Databricks. Removed from Top 300 to prevent contamination of final Top 100 submission.",Civil Engineer,12.0,"Kolkata, West Bengal",India,"Civil Engineer with 12.0+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities.","JavaScript, GraphQL, Six Sigma, Microservices, FastAPI, Excel, SAP, Databricks",Civil Engineer at Acme Corp (51 mos); Operations Manager at Hooli (33 mos),M.Tech in Computer Science (2006-2009); Ph.D in Information Technology (2011-2015)
CAND_0000134,0.052546,0.5403,0.2203,0.5788,0.5,clustered,CLUSTERED_TEMPLATE,"Clustered: Profile is >90% semantically identical to 46 other templated candidates in Top 300. Summary and skills structure match synthetic generation patterns. Skills include HTML, Flask, Reinforcement Learning, Airflow, YOLO, GraphQL, Azure, Snowflake—common in templated profiles—but career details lack specificity. Removed because this appears to be part of a synthetic batch generated from a single template, not a genuine candidate. Education: Ph.D in MBA (2012-2015). Career: Full Stack Developer at Hooli (45 mos); Frontend Engineer at Pied Piper (57 mos). Removed from Top 300 to prevent contamination of final Top 100 submission.",Full Stack Developer,8.6,"Jaipur, Rajasthan",India,"Software engineer with 8.6 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've worked across web frontends, REST APIs, and cloud deployments; comfortable in most parts of a typical SaaS stack. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.","HTML, Flask, Reinforcement Learning, Airflow, YOLO, GraphQL, Azure, Snowflake",Full Stack Developer at Hooli (45 mos); Frontend Engineer at Pied Piper (57 mos),Ph.D in MBA (2012-2015)
CAND_0000821,0.044669,0.5666,0.182,0.4705,0.0,quality_filtered,QUALITY_FILTERED,"Quality-filtered: Profile quality score (0.00) below threshold (0.2). Skills: Azure, Redis, PowerPoint, Rust, Weights & Biases, React, MongoDB, CSS. Profile lacks sufficient quality signals to remain in Top 300. Low profile completeness/consistency triggered automatic exclusion. Education: M.S. in Physics (2014-2019); M.E. in Information Technology (2013-2016). Career: Mechanical Engineer at Wayne Enterprises (51 mos); Project Manager at Acme Corp (31 mos). Skills: Azure, Redis, PowerPoint, Rust, Weights & Biases, React, MongoDB, CSS. Removed from Top 300 to prevent contamination of final Top 100 submission.",Mechanical Engineer,6.9,"Pune, Maharashtra",India,"Mechanical Engineer with 6.9+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities.","Azure, Redis, PowerPoint, Rust, Weights & Biases, React, MongoDB, CSS",Mechanical Engineer at Wayne Enterprises (51 mos); Project Manager at Acme Corp (31 mos),M.S. in Physics (2014-2019); M.E. in Information Technology (2013-2016)
CAND_0000584,0.03512,0.552,0.1288,0.6382,0.0,quality_filtered,QUALITY_FILTERED,"Quality-filtered: Profile quality score (0.00) below threshold (0.2). Skills: BM25, Semantic Search, ASR, CI/CD, JavaScript, Node.js, YOLO, OpenCV. Profile lacks sufficient quality signals to remain in Top 300. Low profile completeness/consistency triggered automatic exclusion. Education: M.E. in Chemical Engineering (2009-2012). Career: Analytics Engineer at Stark Industries (50 mos); Analytics Engineer at Ola (37 mos). Skills: BM25, Semantic Search, ASR, CI/CD, JavaScript, Node.js, YOLO, OpenCV. Removed from Top 300 to prevent contamination of final Top 100 submission.",Analytics Engineer,7.3,"Indore, Madhya Pradesh",India,"Software / data professional with 7.3 years of experience building data pipelines, backend systems, and analytics infrastructure. I'm a backend/data hybrid — Spark, Airflow, SQL warehouses are home territory; I'm building competence on the ML side. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice.","BM25, Semantic Search, ASR, CI/CD, JavaScript, Node.js, YOLO, OpenCV",Analytics Engineer at Stark Industries (50 mos); Analytics Engineer at Ola (37 mos),M.E. in Chemical Engineering (2009-2012)
CAND_0000739,0.035172,0.6253,0.1304,0.571,0.0,quality_filtered,QUALITY_FILTERED,"Quality-filtered: Profile quality score (0.00) below threshold (0.2). Skills: Illustrator, Redis, Data Pipelines, OpenCV, Vue.js, FastAPI, Hugging Face Transformers, Semantic Search. Profile lacks sufficient quality signals to remain in Top 300. Low profile completeness/consistency triggered automatic exclusion. Education: Ph.D in Physics (2012-2015). Career: Civil Engineer at Globex Inc (28 mos); Business Analyst at Wipro (36 mos). Skills: Illustrator, Redis, Data Pipelines, OpenCV, Vue.js, FastAPI, Hugging Face Transformers, Semantic Search. Removed from Top 300 to prevent contamination of final Top 100 submission.",Civil Engineer,11.1,"Mumbai, Maharashtra",India,"Civil Engineer with 11.1+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities.","Illustrator, Redis, Data Pipelines, OpenCV, Vue.js, FastAPI, Hugging Face Transformers, Semantic Search",Civil Engineer at Globex Inc (28 mos); Business Analyst at Wipro (36 mos),Ph.D in Physics (2012-2015)
CAND_0000588,0.040566,0.5261,0.0751,0.6101,0.5,clustered,CLUSTERED_TEMPLATE,"Clustered: Profile is >90% semantically identical to 46 other templated candidates in Top 300. Summary and skills structure match synthetic generation patterns. Skills include PowerPoint, TypeScript, Prompt Engineering, FastAPI, Feature Engineering, Databricks, Kafka—common in templated profiles—but career details lack specificity. Removed because this appears to be part of a synthetic batch generated from a single template, not a genuine candidate. Education: B.E. in Electrical Engineering (2013-2018); M.S. in Data Science (2011-2016). Career: DevOps Engineer at Globex Inc (48 mos); Mobile Developer at Zomato (21 mos). Removed from Top 300 to prevent contamination of final Top 100 submission.",DevOps Engineer,5.8,"Delhi, Delhi",India,"Software engineer with 5.8 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. Most of my work is conventional backend engineering — APIs, databases, queues, deployments. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.","PowerPoint, TypeScript, Prompt Engineering, FastAPI, Feature Engineering, Databricks, Kafka",DevOps Engineer at Globex Inc (48 mos); Mobile Developer at Zomato (21 mos),B.E. in Electrical Engineering (2013-2018); M.S. in Data Science (2011-2016)
